iter	Logloss	Accuracy
0	0.6197868221	0.7960201982
1	0.571158719	0.8120901737
2	0.5332076365	0.8126525631
3	0.5057783181	0.812700426
4	0.4853306983	0.8130713636
5	0.4666548954	0.8132388838
6	0.4552518831	0.8148542574
7	0.440804589	0.8148542574
8	0.4337923132	0.8152850237
9	0.4257823135	0.8164815967
10	0.4200544058	0.8180132102
11	0.4137090237	0.8182285933
12	0.4087383939	0.8187909826
13	0.4046844523	0.8189704686
14	0.4014129676	0.8189106399
15	0.3990244756	0.8212200258
16	0.3961845631	0.8208012253
17	0.3939948417	0.8217225865
18	0.3913542117	0.8229311253
19	0.3895779102	0.822763605
20	0.3866795967	0.8228353994
21	0.3847919634	0.8227755708
22	0.3837927071	0.8235892404
23	0.3825796894	0.8238405207
24	0.3817926856	0.8243789786
25	0.3808271982	0.8247977792
26	0.3791069615	0.8251088881
27	0.3782702124	0.8258148662
28	0.3777044404	0.826090078
29	0.3769541238	0.8269396449
30	0.3761695127	0.8276934859
31	0.3756931827	0.8274781027
32	0.3744525592	0.8278849375
33	0.3733565728	0.8281840808
34	0.3728040313	0.8280763892
35	0.3720211949	0.8281721151
36	0.3715668983	0.828483224
37	0.37127359	0.8288062988
38	0.3703007406	0.8289259561
39	0.3695745183	0.8291772364
40	0.3691804042	0.829596037
41	0.3686088346	0.8296319341
42	0.3676654874	0.8300627004
43	0.3671662081	0.830170392
44	0.3666667999	0.8305772268
45	0.3662822922	0.8307567128
46	0.3659897899	0.8310079931
47	0.3655899757	0.8309003015
48	0.3651150814	0.8310438903
49	0.3647018771	0.8310797875
50	0.3644815973	0.8310797875
51	0.3642033775	0.8311276504
52	0.3635301765	0.8312951706
53	0.3630475588	0.8319532858
54	0.3627053255	0.8320250802
55	0.3620881549	0.8324558465
56	0.3618750315	0.8325396066
57	0.3614258798	0.8325156751
58	0.3610984694	0.8326592639
59	0.3605466947	0.8327310582
60	0.360067735	0.8325755038
61	0.3596666904	0.8324558465
62	0.3592616358	0.8324558465
63	0.3590562877	0.8326712296
64	0.3585984584	0.8327071268
65	0.3582851744	0.8324558465
66	0.3579558316	0.8331378931
67	0.3576067262	0.8333054133
68	0.3572689068	0.8331259273
69	0.3565228657	0.8332216532
70	0.3562436239	0.8334729335
71	0.3559752675	0.8337960082
72	0.3556038098	0.834250706
73	0.355314859	0.834250706
74	0.3551065856	0.8344062605
75	0.3546304538	0.8342866032
76	0.3544126931	0.8345019863
77	0.3542093289	0.8346695065
78	0.3539591635	0.8349566841
79	0.3538118491	0.8350643756
80	0.3535179874	0.8351002728
81	0.3531319189	0.8354831762
82	0.3528721638	0.835447279
83	0.3526113948	0.8354353133
84	0.35241111	0.8356746279
85	0.3522426747	0.8357105251
86	0.3518640669	0.8356387307
87	0.3516517236	0.8357823194
88	0.3513480974	0.8358541138
89	0.3511384532	0.8358301824
90	0.3509355871	0.8359019767
91	0.3507805737	0.8361053942
92	0.3504765594	0.8358660795
93	0.3501845378	0.8360455655
94	0.3501156492	0.8359498397
95	0.3500039826	0.8361891543
96	0.3498536372	0.8361053942
97	0.3495300597	0.8364284689
98	0.3491899276	0.8365720576
99	0.3488578201	0.8367635093
