iter	Passed	Remaining
0	528	527644
1	679	338957
2	800	266175
3	938	233581
4	1049	208791
5	1182	195938
6	1312	186161
7	1458	180801
8	1581	174137
9	1706	168906
10	1836	165118
11	2092	172312
12	2191	166390
13	2295	161677
14	2420	158950
15	2523	155218
16	2641	152762
17	2772	151273
18	2894	149423
19	3019	147961
20	3146	146664
21	3266	145230
22	3387	143905
23	3521	143187
24	3636	141814
25	3758	140798
26	3878	139758
27	3996	138731
28	4134	138428
29	4254	137573
30	4354	136106
31	4492	135887
32	4621	135433
33	4748	134920
34	4882	134609
35	5005	134043
36	5118	133216
37	5238	132611
38	5356	131981
39	5504	132097
40	5632	131751
41	5753	131228
42	5873	130716
43	6003	130445
44	6126	130008
45	6251	129643
46	6367	129109
47	6530	129524
48	6643	128935
49	6760	128446
50	6887	128153
51	7018	127952
52	7141	127603
53	7265	127276
54	7385	126903
55	7511	126621
56	7626	126167
57	7751	125888
58	7885	125768
59	8022	125681
60	8160	125610
61	8287	125381
62	8418	125211
63	8539	124889
64	8660	124579
65	8789	124378
66	8913	124122
67	9055	124119
68	9175	123799
69	9302	123588
70	9418	123232
71	9555	123154
72	9684	122975
73	9811	122777
74	9924	122396
75	10039	122057
76	10177	121998
77	10303	121798
78	10432	121621
79	10557	121409
80	10682	121198
81	10805	120966
82	10923	120682
83	11055	120552
84	11163	120168
85	11292	120011
86	11411	119750
87	11531	119509
88	11633	119078
89	11740	118708
90	11862	118493
91	11984	118280
92	12105	118061
93	12230	117884
94	12349	117642
95	12476	117489
96	12629	117571
97	12752	117373
98	12871	117140
99	12996	116964
100	13116	116748
101	13222	116410
102	13343	116208
103	13468	116033
104	13586	115811
105	13703	115578
106	13826	115391
107	13943	115162
108	14046	114818
109	14169	114640
110	14294	114481
111	14412	114267
112	14523	114003
113	14635	113742
114	14766	113636
115	14884	113429
116	14999	113203
117	15120	113018
118	15235	112797
119	15374	112748
120	15512	112686
121	15640	112559
122	15763	112392
123	15891	112268
124	16026	112188
125	16159	112090
126	16291	111989
127	16411	111800
128	16549	111739
129	16676	111603
130	16796	111423
131	16924	111290
132	17053	111167
133	17166	110942
134	17288	110775
135	17408	110594
136	17528	110418
137	17652	110265
138	17767	110057
139	17885	109868
140	18004	109689
141	18124	109512
142	18242	109325
143	18363	109162
144	18482	108985
145	18606	108838
146	18713	108591
147	18835	108431
148	18949	108229
149	19076	108098
150	19190	107897
151	19317	107770
152	19444	107644
153	19575	107537
154	19696	107378
155	19825	107261
156	19940	107070
157	20068	106946
158	20186	106773
159	20298	106566
160	20426	106444
161	20555	106331
162	20675	106165
163	20805	106056
164	20963	106089
165	21083	105923
166	21194	105718
167	21326	105616
168	21446	105455
169	21538	105158
170	21665	105033
171	21795	104920
172	21917	104771
173	22039	104624
174	22158	104460
175	22278	104302
176	22391	104115
177	22518	103988
178	22633	103812
179	22760	103684
180	22875	103509
181	22979	103280
182	23094	103105
183	23218	102967
184	23335	102804
185	23463	102685
186	23587	102549
187	23699	102361
188	23827	102242
189	23957	102134
190	24078	101987
191	24204	101858
192	24320	101691
193	24433	101513
194	24552	101359
195	24671	101202
196	24788	101040
197	24914	100917
198	25030	100750
199	25162	100650
200	25290	100531
201	25416	100408
202	25543	100286
203	25672	100173
204	25814	100110
205	25934	99959
206	26074	99888
207	26197	99753
208	26317	99603
209	26439	99462
210	26571	99359
211	26687	99195
212	26838	99163
213	26967	99048
214	27085	98894
215	27210	98763
216	27334	98630
217	27453	98480
218	27580	98356
219	27709	98241
220	27820	98064
221	27965	98004
222	28088	97867
223	28207	97718
224	28328	97575
225	28457	97462
226	28575	97307
227	28705	97196
228	28821	97037
229	28949	96916
230	29069	96773
231	29195	96647
232	29329	96548
233	29463	96447
234	29607	96381
235	29728	96238
236	29872	96172
237	30041	96183
238	30164	96046
239	30285	95904
240	30407	95763
241	30537	95649
242	30666	95533
243	30779	95365
244	30895	95210
245	31019	95076
246	31157	94986
247	31277	94842
248	31393	94685
249	31517	94551
250	31619	94353
251	31750	94244
252	31872	94105
253	32001	93987
254	32128	93865
255	32258	93751
256	32421	93731
257	32557	93635
258	32674	93481
259	32799	93352
260	32908	93178
261	33044	93079
262	33165	92939
263	33286	92798
264	33403	92646
265	33526	92512
266	33645	92367
267	33785	92279
268	33908	92145
269	34034	92018
270	34149	91864
271	34276	91739
272	34419	91658
273	34545	91531
274	34663	91386
275	34804	91298
276	34921	91149
277	35047	91022
278	35166	90877
279	35285	90734
280	35398	90575
281	35514	90422
282	35632	90276
283	35757	90148
284	35887	90034
285	36010	89901
286	36125	89748
287	36262	89648
288	36386	89519
289	36505	89375
290	36613	89205
291	36731	89061
292	36868	88962
293	36998	88847
294	37119	88708
295	37259	88617
296	37380	88480
297	37497	88334
298	37620	88199
299	37744	88070
300	37872	87949
301	38001	87831
302	38136	87727
303	38274	87629
304	38408	87521
305	38527	87380
306	38651	87248
307	38778	87126
308	38902	86995
309	39025	86863
310	39141	86714
311	39269	86594
312	39393	86464
313	39513	86326
314	39625	86169
315	39754	86049
316	39865	85893
317	40004	85795
318	40113	85634
319	40242	85515
320	40354	85360
321	40485	85246
322	40584	85063
323	40704	84926
324	40832	84805
325	40962	84689
326	41102	84594
327	41225	84462
328	41348	84331
329	41477	84212
330	41597	84074
331	41713	83929
332	41831	83789
333	41961	83671
334	42073	83519
335	42199	83393
336	42313	83246
337	42437	83117
338	42561	82988
339	42684	82858
340	42803	82719
341	42926	82589
342	43051	82462
343	43185	82354
344	43308	82222
345	43435	82100
346	43561	81975
347	43689	81855
348	43806	81713
349	43930	81585
350	44056	81461
351	44200	81369
352	44310	81214
353	44427	81074
354	44556	80955
355	44679	80825
356	44804	80697
357	44932	80577
358	45049	80436
359	45177	80314
360	45299	80184
361	45426	80060
362	45546	79926
363	45675	79806
364	45790	79662
365	45905	79520
366	46026	79385
367	46138	79237
368	46272	79127
369	46395	78998
370	46514	78861
371	46644	78743
372	46768	78616
373	46889	78482
374	47007	78345
375	47121	78201
376	47262	78102
377	47382	77967
378	47501	77832
379	47622	77699
380	47745	77570
381	47865	77436
382	47990	77311
383	48122	77195
384	48244	77065
385	48378	76954
386	48506	76832
387	48630	76705
388	48756	76581
389	48866	76432
390	48980	76290
391	49092	76142
392	49213	76011
393	49350	75905
394	49470	75770
395	49597	75649
396	49712	75507
397	49837	75382
398	49961	75254
399	50075	75112
400	50199	74986
401	50321	74856
402	50454	74742
403	50578	74616
404	50702	74489
405	50819	74352
406	50937	74215
407	51058	74084
408	51175	73948
409	51296	73816
410	51444	73724
411	51566	73594
412	51679	73452
413	51805	73328
414	51928	73200
415	52056	73078
416	52178	72949
417	52305	72826
418	52423	72691
419	52575	72604
420	52693	72468
421	52812	72335
422	52932	72203
423	53059	72081
424	53186	71958
425	53306	71826
426	53424	71691
427	53555	71574
428	53676	71443
429	53796	71312
430	53950	71225
431	54074	71097
432	54199	70972
433	54353	70885
434	54509	70799
435	54666	70716
436	54787	70583
437	54913	70459
438	55061	70363
439	55205	70260
440	55342	70150
441	55487	70049
442	55641	69960
443	55787	69860
444	55939	69767
445	56094	69677
446	56240	69576
447	56366	69451
448	56486	69318
449	56613	69194
450	56742	69071
451	56869	68947
452	56990	68816
453	57136	68715
454	57259	68585
455	57368	68439
456	57482	68299
457	57615	68183
458	57724	68036
459	57845	67905
460	57968	67776
461	58097	67654
462	58221	67527
463	58356	67412
464	58475	67277
465	58593	67143
466	58726	67026
467	58848	66896
468	58969	66765
469	59093	66637
470	59210	66501
471	59332	66371
472	59461	66250
473	59584	66121
474	59704	65988
475	59834	65868
476	59966	65749
477	60093	65625
478	60223	65503
479	60344	65373
480	60466	65243
481	60593	65119
482	60706	64979
483	60845	64868
484	60968	64739
485	61111	64632
486	61237	64506
487	61362	64380
488	61476	64242
489	61596	64110
490	61707	63969
491	61848	63859
492	61976	63736
493	62102	63610
494	62230	63487
495	62360	63366
496	62479	63234
497	62583	63086
498	62718	62969
499	62839	62839
500	62976	62725
501	63100	62597
502	63221	62467
503	63346	62340
504	63468	62211
505	63587	62079
506	63716	61957
507	63844	61833
508	63986	61723
509	64111	61597
510	64251	61485
511	64380	61362
512	64485	61217
513	64604	61085
514	64735	60964
515	64861	60839
516	64999	60724
517	65115	60589
518	65229	60453
519	65347	60321
520	65488	60208
521	65621	60090
522	65743	59960
523	65866	59833
524	66016	59729
525	66140	59602
526	66262	59472
527	66391	59349
528	66521	59227
529	66642	59098
530	66760	58965
531	66886	58839
532	67011	58713
533	67167	58614
534	67284	58481
535	67407	58352
536	67529	58223
537	67664	58105
538	67790	57979
539	67917	57855
540	68041	57728
541	68179	57612
542	68299	57482
543	68418	57351
544	68539	57221
545	68663	57093
546	68798	56975
547	68925	56851
548	69074	56744
549	69208	56625
550	69334	56499
551	69450	56365
552	69568	56233
553	69684	56100
554	69805	55970
555	69922	55837
556	70037	55702
557	70162	55576
558	70306	55465
559	70431	55339
560	70548	55206
561	70672	55079
562	70799	54954
563	70925	54828
564	71049	54701
565	71167	54570
566	71302	54451
567	71439	54334
568	71557	54202
569	71685	54078
570	71810	53951
571	71931	53822
572	72054	53695
573	72181	53570
574	72329	53460
575	72461	53339
576	72581	53209
577	72714	53089
578	72836	52960
579	72962	52834
580	73091	52711
581	73205	52577
582	73351	52466
583	73480	52342
584	73602	52214
585	73727	52087
586	73848	51957
587	73981	51837
588	74111	51714
589	74232	51585
590	74335	51443
591	74478	51329
592	74605	51205
593	74727	51076
594	74854	50951
595	74984	50828
596	75104	50698
597	75225	50569
598	75346	50440
599	75607	50405
600	75727	50275
601	75860	50153
602	75987	50028
603	76118	49905
604	76236	49774
605	76354	49642
606	76475	49513
607	76630	49406
608	76750	49276
609	76871	49147
610	76988	49015
611	77102	48881
612	77230	48757
613	77349	48627
614	77482	48505
615	77603	48376
616	77745	48259
617	77873	48135
618	77976	47995
619	78099	47867
620	78226	47741
621	78351	47615
622	78477	47489
623	78602	47363
624	78745	47247
625	78864	47116
626	78986	46988
627	79117	46865
628	79239	46737
629	79366	46612
630	79482	46480
631	79608	46354
632	79726	46223
633	79872	46109
634	80007	45988
635	80130	45861
636	80259	45736
637	80381	45608
638	80504	45480
639	80630	45354
640	80753	45226
